City,State,Page,MAT0320,INST0320,TOTAL0320,MAT07,INST07,TOTAL07,MAT,INST,TOTAL
TACOMA,WASHINGTON,35,94.9,118.2,102.4,103.4,107,105,104.1,104.8,104.4
VANCOUVER,WASHINGTON,35,95.4,118.4,102.8,104.6,98.9,102.1,106.1,102,104.4
WENATCHEE,WASHINGTON,35,95.4,89.4,93.4,103.3,82.6,94.2,104.1,85.1,96.4
YAKIMA,WASHINGTON,35,95.2,100.7,96.9,103.6,90.3,97.8,104.2,96.4,101
BECKLEY,WEST VIRGINIA,35,94.4,83.2,90.8,114.7,81.1,100,95.4,85.6,91.4
BLUEFIELD,WEST VIRGINIA,35,93.5,76.8,88.2,105.2,81.1,94.6,96.9,83.1,91.3
BUCKHANNON,WEST VIRGINIA,35,94.1,81.5,90.1,105.6,84.3,96.3,98.1,88.9,94.4
CHARLESTON,WEST VIRGINIA,35,99.9,83.5,94.6,110.5,86.1,99.8,97.2,89,93.9
CLARKSBURG,WEST VIRGINIA,35,94.1,95.8,94.7,105.4,84.1,96,98.8,89.8,95.1
GASSAWAY,WEST VIRGINIA,35,94.1,85.3,91.3,105.2,85,96.4,98.1,86.1,93.3
HUNTINGTON,WEST VIRGINIA,35,95.8,88.3,93.4,115.1,84.8,101.8,98.3,89.4,94.7
LEWISBURG,WEST VIRGINIA,35,94.1,76.9,88.6,106.2,81.1,95.2,98.5,84.8,92.9
MARTINSBURG,WEST VIRGINIA,35,94.4,88.5,92.5,114.9,74.9,97.3,96.6,78.8,89.4
MORGANTOWN,WEST VIRGINIA,35,94.1,95.9,94.7,105.2,85.4,96.5,98.4,90.4,95.2
PARKERSBURG,WEST VIRGINIA,35,93.5,81.4,89.6,105.5,83.6,95.9,98.6,88.3,94.4
PETERSBURG,WEST VIRGINIA,36,93.5,85.3,90.9,105.3,80.4,94.4,97.7,84.3,92.2
ROMNEY,WEST VIRGINIA,36,94.1,88.8,92.4,105.3,80.3,94.3,97.9,84,92.2
WHEELING,WEST VIRGINIA,36,92.9,95.9,93.9,105.7,83.1,95.8,99.6,89.3,95.4
BELOIT,WISCONSIN,36,101.3,139.9,113.7,94.5,90.7,92.8,95.4,95.5,95.4
EAUCLAIRE,WISCONSIN,36,93.3,113.3,99.7,100.1,103.3,101.5,95.8,99,97.1
GREENBAY,WISCONSIN,36,92.4,110.2,98.1,103,102.7,102.9,98.3,102.6,100.1
KENOSHA,WISCONSIN,36,101.2,113.8,105.3,95.6,107.7,100.9,97,105.3,100.4
LACROSSE,WISCONSIN,36,93.2,108.9,98.2,99.2,101.1,100.1,93.9,99,96
LANCASTER,WISCONSIN,36,102,99.8,101.2,94.2,90.5,92.6,93.3,90.8,92.3
MADISON,WISCONSIN,36,99.6,109.1,102.6,92.9,105.7,98.5,96.1,103.5,99.1
MILWAUKEE,WISCONSIN,36,99.6,113.9,104.2,92.9,112.5,101.5,96.9,108,101.4
NEWRICHMOND,WISCONSIN,36,91.9,107.2,96.8,99.8,97,98.6,93.9,90.5,92.5
OSHKOSH,WISCONSIN,36,92.5,103.2,95.9,101.7,82.8,93.4,94,91,92.7
PORTAGE,WISCONSIN,36,102,99.9,101.3,93.5,96.5,94.8,91.8,94.3,92.8
RACINE,WISCONSIN,36,101.3,113.8,105.3,94.6,107.9,100.4,96.2,105.2,99.8
RHINELANDER,WISCONSIN,36,92.5,100,94.9,102.6,81.1,93.2,96.4,88.9,93.4
SUPERIOR,WISCONSIN,36,91.9,110,97.7,99.3,91.9,96.1,93.5,92.5,93
WAUSAU,WISCONSIN,36,92.5,109.2,97.9,101.5,92.3,97.5,93.1,90.5,92.1
CASPER,WYOMING,37,101.7,82.2,95.4,107.4,67.5,89.9,101,72,89.2
CHEYENNE,WYOMING,37,92.8,82.3,89.4,102,66.7,86.5,99.7,72.6,88.7
NEWCASTLE,WYOMING,37,100.2,82.3,94.5,102.6,65.2,86.2,97.9,70.4,86.7
RAWLINS,WYOMING,37,100,82.3,94.3,104.3,65.2,87.2,100.1,70.4,88
RIVERTON,WYOMING,37,100.8,82.3,94.9,103.6,68.4,88.1,99.1,70.4,87.5
ROCKSPRINGS,WYOMING,37,100.8,81.9,94.8,102.8,68,87.6,101.6,71.1,89.2
SHERIDAN,WYOMING,37,100.8,82.3,94.9,104.6,66.8,88,101,70.6,88.6
WHEATLAND,WYOMING,37,100.2,81.6,94.3,102.9,62.1,85,98.6,69,86.5
WORLAND,WYOMING,37,100.8,82.3,94.9,102.7,65.2,86.3,98.1,71,87.1
YELLOWSTONENAT¡¯LPA,WYOMING,37,102.6,82.3,96.1,102.2,65.2,86,97.6,70.7,86.7
